Date,AGL.AX,ASB.AX,CGC.AX,CHN.AX,FGL.AX,HLI.AX,LER.AX,MFG.AX,MIN.AX,NXL.AX,PPT.AX,S32.AX
2023-05-15,1070711,294686,348108,733477,0.0,2062466,166667.0,569604,994110,454721,179687,11691804
2023-05-16,1046280,676790,418241,1033302,0.0,1996111,3178598.0,643001,784523,307275,234823,22970191
2023-05-17,2420294,403724,403322,1306974,65113.0,1073064,2947265.0,379771,1165244,542033,157133,18994067
2023-05-18,1594457,442968,23636253,4542868,396033.0,1605504,3563348.0,587850,1363476,288494,269830,13742149
2023-05-19,1346820,8520661,441311,783384,142857.0,2314515,478182.0,538081,1026374,190737,252609,8522256
2023-05-22,1468202,2072689,488517,987722,1400243.0,1086989,171950.0,526575,615918,187477,205310,14952662
2023-05-23,2897723,1256130,707891,880797,0.0,1500259,679867.0,957098,780750,312517,363753,17748202
2023-05-24,2771499,1184712,561461,1213206,18785.0,1570936,62822.0,910981,1077542,581325,472138,19409604
2023-05-25,2553248,817637,5005807,2000000,43333.0,1838271,214624.0,1154677,1237640,343422,219161,20254794
2023-05-26,2908009,514912,1969449,1993763,0.0,2195372,293645.0,527283,844871,223687,171097,18074276
2023-05-29,2624753,721948,2477333,2584851,197707.0,1841225,209951.0,753636,1225212,272072,183192,16856179
2023-05-30,1637973,464438,1105278,1283548,0.0,2083561,326906.0,526962,692099,381368,135231,22206367
2023-05-31,4126625,1333879,8848821,2851915,0.0,2583605,221305.0,1505870,1747748,265854,357276,26800031
2023-06-01,3887084,1931462,661668,1098537,0.0,1443115,858313.0,615299,1476133,371613,204738,17070166
2023-06-02,2601086,2806400,757509,1155087,0.0,1241813,188.0,430893,1211060,303999,349845,26463149
2023-06-05,1845067,1693794,838078,1076670,99.0,459572,1416158.0,542515,1156209,286932,305938,15766330
2023-06-06,3328591,2818779,992250,1247031,0.0,1158215,468010.0,1108372,1021085,576493,257948,24001723
2023-06-07,2668647,1654016,695063,1027641,2218656.0,1351228,1408206.0,819617,745421,323248,485410,23788778
2023-06-08,6818308,1730464,1706198,1196282,88591.0,2358655,1319317.0,944082,932432,1202944,413271,18369546
2023-06-09,3691894,1061853,1046974,1022202,1500000.0,1014052,977895.0,698710,1156048,484396,211461,12576186
2023-06-13,4178605,435123,1743139,765910,1102284.0,582079,1368120.0,1261546,1105471,768152,232979,16948446
2023-06-14,3214646,479188,1520878,1111492,3851489.0,1453107,510857.0,931873,1779941,715677,402624,31998632
2023-06-15,5387596,795010,1218391,1596333,610000.0,1880814,866404.0,809019,1623682,504659,237694,29263477
2023-06-16,24057268,2293477,2210686,2187507,1406698.0,2162600,45981.0,1028865,2520311,1022576,550475,39207636
2023-06-19,3778599,869714,838810,1818229,837118.0,1223373,1623833.0,617442,1153507,347617,269578,15381099
2023-06-20,4409388,745969,1237461,1156524,0.0,1669015,0.0,1478902,695226,421860,524541,10303151
2023-06-21,4551323,526190,983021,942540,0.0,1880548,1105162.0,1393020,735890,242369,438010,23722351
2023-06-22,3595641,416058,705467,618821,0.0,831653,1120000.0,1147419,624354,700587,215589,20073695
2023-06-23,2204198,455046,1062942,1411625,1000000.0,1165532,2697900.0,624564,1029486,484128,287536,21381563
2023-06-26,1785464,421156,698151,729997,81.0,531861,2660953.0,622163,1682183,300813,224621,14023693
2023-06-27,3357836,357817,845840,982305,0.0,1020190,776861.0,1197097,728331,466481,373601,10487898
